rank,name,syllables
1,Emma,0
2,Olivia,0
3,Ava,0
4,Isabella,0
5,Sophia,0
6,Mia,0
7,Charlotte,0
8,Amelia,0
9,Evelyn,0
10,Abigail,0
11,Harper,0
12,Emily,0
13,Elizabeth,0
14,Avery,0
15,Sofia,0
16,Ella,0
17,Madison,0
18,Scarlett,0
19,Victoria,0
20,Aria,0
21,Grace,0
22,Chloe,0
23,Camila,0
24,Penelope,0
25,Riley,0
26,Layla,0
27,Lillian,0
28,Nora,0
29,Zoey,0
30,Mila,0
31,Aubrey,0
32,Hannah,0
33,Lily,0
34,Addison,0
35,Eleanor,0
36,Natalie,0
37,Luna,0
38,Savannah,0
39,Brooklyn,0
40,Leah,0
41,Zoe,0
42,Stella,0
43,Hazel,0
44,Ellie,0
45,Paisley,0
46,Audrey,0
47,Skylar,0
48,Violet,0
49,Claire,0
50,Bella,0
51,Aurora,0
52,Lucy,0
53,Anna,0
54,Samantha,0
55,Caroline,0
56,Genesis,0
57,Aaliyah,0
58,Kennedy,0
59,Kinsley,0
60,Allison,0
61,Maya,0
62,Sarah,0
63,Madelyn,0
64,Adeline,0
65,Alexa,0
66,Ariana,0
67,Elena,0
68,Gabriella,0
69,Naomi,0
70,Alice,0
71,Sadie,0
72,Hailey,0
73,Eva,0
74,Emilia,0
75,Autumn,0
76,Quinn,0
77,Nevaeh,0
78,Piper,0
79,Ruby,0
80,Serenity,0
81,Willow,0
82,Everly,0
83,Cora,0
84,Kaylee,0
85,Lydia,0
86,Aubree,0
87,Arianna,0
88,Eliana,0
89,Peyton,0
90,Melanie,0
91,Gianna,0
92,Isabelle,0
93,Julia,0
94,Valentina,0
95,Nova,0
96,Clara,0
97,Vivian,0
98,Reagan,0
99,Mackenzie,0
100,Madeline,0
101,Brielle,0
102,Delilah,0
103,Isla,0
104,Rylee,0
105,Katherine,0
106,Sophie,0
107,Josephine,0
108,Ivy,0
109,Liliana,0
110,Jade,0
111,Maria,0
112,Taylor,0
113,Hadley,0
114,Kylie,0
115,Emery,0
116,Adalynn,0
117,Natalia,0
118,Annabelle,0
119,Faith,0
120,Alexandra,0
121,Ximena,0
122,Ashley,0
123,Brianna,0
124,Raelynn,0
125,Bailey,0
126,Mary,0
127,Athena,0
128,Andrea,0
129,Leilani,0
130,Jasmine,0
131,Lyla,0
132,Margaret,0
133,Alyssa,0
134,Adalyn,0
135,Arya,0
136,Norah,0
137,Khloe,0
138,Kayla,0
139,Eden,0
140,Eliza,0
141,Rose,0
142,Ariel,0
143,Melody,0
144,Alexis,0
145,Isabel,0
146,Sydney,0
147,Juliana,0
148,Lauren,0
149,Iris,0
150,Emerson,0
151,London,0
152,Morgan,0
153,Lilly,0
154,Charlie,0
155,Aliyah,0
156,Valeria,0
157,Arabella,0
158,Sara,0
159,Finley,0
160,Trinity,0
161,Ryleigh,0
162,Jordyn,0
163,Jocelyn,0
164,Kimberly,0
165,Esther,0
166,Molly,0
167,Valerie,0
168,Cecilia,0
169,Anastasia,0
170,Daisy,0
171,Reese,0
172,Laila,0
173,Mya,0
174,Amy,0
175,Teagan,0
176,Amaya,0
177,Elise,0
178,Harmony,0
179,Paige,0
180,Adaline,0
181,Fiona,0
182,Alaina,0
183,Nicole,0
184,Genevieve,0
185,Lucia,0
186,Alina,0
187,Mckenzie,0
188,Callie,0
189,Payton,0
190,Eloise,0
191,Brooke,0
192,Londyn,0
193,Mariah,0
194,Julianna,0
195,Rachel,0
196,Daniela,0
197,Gracie,0
198,Catherine,0
199,Angelina,0
200,Presley,0
201,Josie,0
202,Harley,0
203,Adelyn,0
204,Vanessa,0
205,Makayla,0
206,Parker,0
207,Juliette,0
208,Amara,0
209,Marley,0
210,Lila,0
211,Ana,0
212,Rowan,0
213,Alana,0
214,Michelle,0
215,Malia,0
216,Rebecca,0
217,Brooklynn,0
218,Brynlee,0
219,Summer,0
220,Sloane,0
221,Leila,0
222,Sienna,0
223,Adriana,0
224,Sawyer,0
225,Kendall,0
226,Juliet,0
227,Destiny,0
228,Alayna,0
229,Elliana,0
230,Diana,0
231,Hayden,0
232,Ayla,0
233,Dakota,0
234,Angela,0
235,Noelle,0
236,Rosalie,0
237,Joanna,0
238,Jayla,0
239,Alivia,0
240,Lola,0
241,Emersyn,0
242,Georgia,0
243,Selena,0
244,June,0
245,Daleyza,0
246,Tessa,0
247,Maggie,0
248,Jessica,0
249,Remi,0
250,Delaney,0
251,Camille,0
252,Vivienne,0
253,Hope,0
254,Mckenna,0
255,Gemma,0
256,Olive,0
257,Alexandria,0
258,Blakely,0
259,Izabella,0
260,Catalina,0
261,Raegan,0
262,Journee,0
263,Gabrielle,0
264,Lucille,0
265,Ruth,0
266,Amiyah,0
267,Evangeline,0
268,Blake,0
269,Thea,0
270,Amina,0
271,Giselle,0
272,Lilah,0
273,Melissa,0
274,River,0
275,Kate,0
276,Adelaide,0
277,Charlee,0
278,Vera,0
279,Leia,0
280,Gabriela,0
281,Zara,0
282,Jane,0
283,Journey,0
284,Elaina,0
285,Miriam,0
286,Briella,0
287,Stephanie,0
288,Cali,0
289,Ember,0
290,Lilliana,0
291,Aniyah,0
292,Logan,0
293,Kamila,0
294,Brynn,0
295,Ariella,0
296,Makenzie,0
297,Annie,0
298,Mariana,0
299,Kali,0
300,Haven,0
301,Elsie,0
302,Nyla,0
303,Paris,0
304,Lena,0
305,Freya,0
306,Adelynn,0
307,Lyric,0
308,Camilla,0
309,Sage,0
310,Jennifer,0
311,Paislee,0
312,Talia,0
313,Alessandra,0
314,Juniper,0
315,Fatima,0
316,Raelyn,0
317,Amira,0
318,Arielle,0
319,Phoebe,0
320,Kinley,0
321,Ada,0
322,Nina,0
323,Ariah,0
324,Samara,0
325,Myla,0
326,Brinley,0
327,Cassidy,0
328,Maci,0
329,Aspen,0
330,Allie,0
331,Keira,0
332,Kaia,0
333,Makenna,0
334,Amanda,0
335,Heaven,0
336,Joy,0
337,Lia,0
338,Madilyn,0
339,Gracelyn,0
340,Laura,0
341,Evelynn,0
342,Lexi,0
343,Haley,0
344,Miranda,0
345,Kaitlyn,0
346,Daniella,0
347,Felicity,0
348,Jacqueline,0
349,Evie,0
350,Angel,0
351,Danielle,0
352,Ainsley,0
353,Dylan,0
354,Kiara,0
355,Millie,0
356,Jordan,0
357,Maddison,0
358,Rylie,0
359,Alicia,0
360,Maeve,0
361,Margot,0
362,Kylee,0
363,Phoenix,0
364,Heidi,0
365,Zuri,0
366,Alondra,0
367,Lana,0
368,Madeleine,0
369,Gracelynn,0
370,Kenzie,0
371,Miracle,0
372,Shelby,0
373,Elle,0
374,Adrianna,0
375,Bianca,0
376,Addilyn,0
377,Kira,0
378,Veronica,0
379,Gwendolyn,0
380,Esmeralda,0
381,Chelsea,0
382,Alison,0
383,Skyler,0
384,Magnolia,0
385,Daphne,0
386,Jenna,0
387,Everleigh,0
388,Kyla,0
389,Braelynn,0
390,Harlow,0
391,Annalise,0
392,Mikayla,0
393,Dahlia,0
394,Maliyah,0
395,Averie,0
396,Scarlet,0
397,Kayleigh,0
398,Luciana,0
399,Kelsey,0
400,Nadia,0
401,Amber,0
402,Gia,0
403,Kamryn,0
404,Yaretzi,0
405,Carmen,0
406,Jimena,0
407,Erin,0
408,Christina,0
409,Katie,0
410,Ryan,0
411,Viviana,0
412,Alexia,0
413,Anaya,0
414,Serena,0
415,Katelyn,0
416,Ophelia,0
417,Regina,0
418,Helen,0
419,Remington,0
420,Camryn,0
421,Cadence,0
422,Royalty,0
423,Amari,0
424,Kathryn,0
425,Skye,0
426,Emely,0
427,Jada,0
428,Ariyah,0
429,Aylin,0
430,Saylor,0
431,Kendra,0
432,Cheyenne,0
433,Fernanda,0
434,Sabrina,0
435,Francesca,0
436,Eve,0
437,Mckinley,0
438,Frances,0
439,Sarai,0
440,Carolina,0
441,Kennedi,0
442,Nylah,0
443,Tatum,0
444,Alani,0
445,Lennon,0
446,Raven,0
447,Zariah,0
448,Leslie,0
449,Winter,0
450,Abby,0
451,Mabel,0
452,Sierra,0
453,April,0
454,Willa,0
455,Carly,0
456,Jolene,0
457,Rosemary,0
458,Aviana,0
459,Madelynn,0
460,Selah,0
461,Renata,0
462,Lorelei,0
463,Briana,0
464,Celeste,0
465,Wren,0
466,Charleigh,0
467,Leighton,0
468,Annabella,0
469,Jayleen,0
470,Braelyn,0
471,Ashlyn,0
472,Jazlyn,0
473,Mira,0
474,Oakley,0
475,Malaysia,0
476,Edith,0
477,Avianna,0
478,Maryam,0
479,Emmalyn,0
480,Hattie,0
481,Kensley,0
482,Macie,0
483,Bristol,0
484,Marlee,0
485,Demi,0
486,Cataleya,0
487,Maia,0
488,Sylvia,0
489,Itzel,0
490,Allyson,0
491,Lilith,0
492,Melany,0
493,Kaydence,0
494,Holly,0
495,Nayeli,0
496,Meredith,0
497,Nia,0
498,Liana,0
499,Megan,0
500,Justice,0
501,Bethany,0
502,Alejandra,0
503,Janelle,0
504,Elisa,0
505,Adelina,0
506,Ashlynn,0
507,Elianna,0
508,Aleah,0
509,Myra,0
510,Lainey,0
511,Blair,0
512,Kassidy,0
513,Charley,0
514,Virginia,0
515,Kara,0
516,Helena,0
517,Sasha,0
518,Julie,0
519,Michaela,0
520,Carter,0
521,Matilda,0
522,Kehlani,0
523,Henley,0
524,Maisie,0
525,Hallie,0
526,Jazmin,0
527,Priscilla,0
